# Real gene-disease clinical validity associations.
#
# Source 1: ClinGen Gene-Disease Validity curations (clingen_gene_validity.csv), downloaded from
#   https://search.clinicalgenome.org/kb/gene-validity/download
# Version: 2026-08-27 (ClinGen's own 'FILE CREATED:' date; ClinGen is a living curation, not a tagged release)
# Licence: CC0 1.0 Universal (public domain); ClinGen requests attribution and the date accessed.
#   See https://clinicalgenome.org/docs/terms-of-use/
# Source 2: EBI Gene2Phenotype (G2P) developmental-disorder panel export (DDG2P.csv), downloaded from
#   https://www.ebi.ac.uk/gene2phenotype/api/panel/DD/download/
# Version: 2026-08-28 (accessed-on date; this G2P export does not embed a dataset release/version string of its own)
# Licence: EBI Gene2Phenotype terms -- freely available for use, with attribution requested. See https://www.ebi.ac.uk/gene2phenotype/about/project
# 2869 associations across 2561 genes. confidence values seen: definitive=1482; disputed=4; limited=357; moderate=272; refuted=2; strong=752.
# hgnc_id is DDG2P's own 'hgnc id' column, prefixed 'HGNC:'; mutation_consequence is DDG2P's 'variant consequence'; inheritance is DDG2P's own 'allelic requirement' vocabulary (biallelic_autosomal, monoallelic_autosomal, monoallelic_X_hemizygous, monoallelic_X_heterozygous, monoallelic_X, monoallelic_Y_hemizygous, mitochondrial) -- a DIFFERENT code space from ClinGen's MOI column above; the two are never merged into one vocabulary, only stacked as separate rows distinguished by `source`. classification_date is DDG2P's 'date of last review'; gcep is always empty for DDG2P rows (ClinGen-specific concept); panel is DDG2P's own semicolon-joined sub-panel membership (e.g. 'DD; Eye'), always empty for ClinGen rows.
# disease_id prefers DDG2P's 'disease MONDO' column, falls back to 'disease mim' (prefixed 'OMIM:') when MONDO is blank, and is left EMPTY when both are blank (123 of 2869 rows) -- never a fabricated identifier.
# Gene-symbol cross-check against knowledge/real/gene_panel.tsv (gnomAD): 206 of 2561 DDG2P gene symbols were not found there (171 carry an X-linked/Y-linked allelic requirement and are explained by gene_panel.tsv's chrX/Y coverage gap); remaining sample: AFG2A, AFG2B, BLTP1, CBS, CPAP, CRYAA, DNAAF19, DRC2, DRC4, GBA1, GMNN, H3-3A, HYCC1, LYSET, MIR140, MIR17HG, MIR184, MT-TL1, MT-TP, MYL11, ... (15 more).
# Retrieved: 2026-08-28
# Generator: tools/build_knowledge/build.py (uv run python -m tools.build_knowledge.build)
#
# Every classification from BOTH sources is kept VERBATIM in confidence, including ClinGen's Disputed, Refuted and 'No Known Disease Relationship' and DDG2P's (lower-case) disputed/refuted: curated-and-refuted is real evidence, and dropping it would make absence indistinguishable from refutation (GP-14, generalised). ClinGen values seen in this download: Definitive=2291; Disputed=197; Limited=545; Moderate=455; No Known Disease Relationship=48; Refuted=49; Strong=83.
# inheritance carries ClinGen's own MOI code unmodified for ClinGen rows (AD=autosomal dominant; AR=autosomal recessive; XL=X-linked; SD=semidominant; MT=mitochondrial; UD=undetermined); mutation_consequence is always empty for ClinGen rows -- ClinGen's curation model does not capture this concept.
#
# Gene-symbol cross-check against knowledge/real/gene_panel.tsv (gnomAD): 265 of 3029 ClinGen gene symbols were not found there.
#   192 of those carry an X-linked (XL) MOI record and are explained by gene_panel.tsv's documented chrX/Y coverage gap, not a symbol mismatch.
#   The remaining 73 are mostly mitochondrial genes (gnomAD's nuclear constraint model does not cover mtDNA) and a handful of recent HGNC renames / non-protein-coding loci: AFG2A, AFG2B, BLTP1, CBS, CLXN, COXFA4, CRIPTO, CSF2RA, DNAAF19, DRC2, DRC4, GBA1, GMNN, H3-3A, HYCC1, ICOSLG, IGHM, IGKC, KCNE5, MIR140, ... (53 more).
gene_symbol	hgnc_id	disease_id	disease_name	inheritance	mutation_consequence	confidence	classification_date	gcep	panel	source	version
MSH2	HGNC:7325	MONDO:0010159	mismatch repair cancer syndrome 1	AR		Definitive	2018-10-09T14:44:00.302Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MSH2	HGNC:7325	MONDO:0016419	hereditary breast carcinoma	AD		Refuted	2023-03-14T17:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MSH3	HGNC:7326	MONDO:0005835	Lynch syndrome	AD		Disputed	2024-08-29T17:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MSH3	HGNC:7326	MONDO:0044300	familial adenomatous polyposis 4	AR		Definitive	2024-08-29T17:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MSH6	HGNC:7329	MONDO:0005835	Lynch syndrome	AD		Definitive	2023-07-05T17:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MSH6	HGNC:7329	MONDO:0010159	mismatch repair cancer syndrome 1	AR		Definitive	2018-10-09T14:57:26.378Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MSH6	HGNC:7329	MONDO:0016419	hereditary breast carcinoma	AD		Disputed	2023-12-21T18:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MSI1	HGNC:7330	MONDO:0001149	MSI1-related microcephaly	biallelic_autosomal	altered gene product structure	limited	2018-04-14 09:37:29+00:00		DD	DDG2P	2026-08-28
MSL2	HGNC:25544	MONDO:0975836	MSL2-related developmental disorder	monoallelic_autosomal	absent gene product	definitive	2025-01-16 11:19:48+00:00		DD	DDG2P	2026-08-28
MSL3	HGNC:7370	MONDO:0026730	Basilicata-Akhtar syndrome	XL		Definitive	2022-01-18T17:00:00.000Z	Intellectual Disability and Autism Gene Curation Expert Panel		ClinGen	2026-08-27
MSL3	HGNC:7370	MONDO:0026730	MSL3-related intellectual developmental disorder	monoallelic_X_heterozygous	absent gene product	definitive	2016-11-22 15:43:53+00:00		DD	DDG2P	2026-08-28
MSN	HGNC:7373	MONDO:0010514	combined immunodeficiency due to moesin deficiency	XL		Definitive	2023-01-19T18:00:00.000Z	SCID-CID Gene Curation Expert Panel		ClinGen	2026-08-27
MSRB3	HGNC:27375	MONDO:0019497	nonsyndromic genetic hearing loss	AR		Definitive	2021-11-30T17:00:00.000Z	Hearing Loss Gene Curation Expert Panel		ClinGen	2026-08-27
MSTO1	HGNC:29678	MONDO:0044970	mitochondrial disease	AR		Definitive	2023-05-18T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MSX1	HGNC:7391	MONDO:0007129	tooth agenesis, selective, 1	AD		Definitive	2024-02-08T17:00:00.000Z	Craniofacial Malformations Gene Curation Expert Panel		ClinGen	2026-08-27
MSX1	HGNC:7391	MONDO:0008582	tooth and nail syndrome	AD		Disputed	2023-10-19T16:00:00.000Z	Craniofacial Malformations Gene Curation Expert Panel		ClinGen	2026-08-27
MSX1	HGNC:7391	MONDO:0012142	MSX1-related cleft lip with or without cleft palate	monoallelic_autosomal	absent gene product	definitive	2025-01-27 16:20:20+00:00		DD; Skin	DDG2P	2026-08-28
MSX2	HGNC:7392	MONDO:0008198	MSX2-related enlarged parietal foramina/cranium bifidum	monoallelic_autosomal	absent gene product	definitive	2023-05-24 09:07:29+00:00		DD; Skeletal	DDG2P	2026-08-28
MSX2	HGNC:7392	MONDO:0011481	craniosynostosis 2	AD		Definitive	2020-09-28T17:00:00.000Z	Craniofacial Malformations Gene Curation Expert Panel		ClinGen	2026-08-27
MSX2	HGNC:7392	MONDO:0011481	MSX2-related craniosynostosis	monoallelic_autosomal	altered gene product structure	definitive	2023-05-24 09:07:30+00:00		DD; Skeletal	DDG2P	2026-08-28
MSX2	HGNC:7392	MONDO:0018953	parietal foramina	AD		Definitive	2020-07-08T17:00:00.000Z	Craniofacial Malformations Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ATP6	HGNC:7414	MONDO:0009723	Leigh syndrome	MT		Definitive	2021-06-28T14:53:50.161Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ATP6	HGNC:7414	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-05-18T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ATP8	HGNC:7415	MONDO:0044970	mitochondrial disease	MT		Limited	2025-07-14T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-CO1	HGNC:7419	MONDO:0009723	Leigh syndrome	MT		Limited	2021-06-28T14:35:40.269Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-CO1	HGNC:7419	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-06-05T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-CO2	HGNC:7421	MONDO:0009723	Leigh syndrome	MT		Limited	2021-06-28T14:41:36.451Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-CO2	HGNC:7421	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-07-11T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-CO3	HGNC:7422	MONDO:0009723	Leigh syndrome	MT		Limited	2021-06-28T14:47:16.059Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-CO3	HGNC:7422	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-03-20T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-CYB	HGNC:7427	MONDO:0044970	mitochondrial disease	MT		Definitive	2024-03-04T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND1	HGNC:7455	MONDO:0009723	Leigh syndrome	MT		Definitive	2021-04-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND1	HGNC:7455	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-04-03T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND2	HGNC:7456	MONDO:0009723	Leigh syndrome	MT		Limited	2021-04-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND2	HGNC:7456	MONDO:0044970	mitochondrial disease	MT		Moderate	2025-07-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND3	HGNC:7458	MONDO:0009723	Leigh syndrome	MT		Definitive	2021-03-24T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND3	HGNC:7458	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-03-06T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND4	HGNC:7459	MONDO:0009723	Leigh syndrome	MT		Definitive	2021-05-17T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND4	HGNC:7459	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-03-06T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND4L	HGNC:7460	MONDO:0044970	mitochondrial disease	MT		Limited	2025-07-14T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND5	HGNC:7461	MONDO:0009723	Leigh syndrome	MT		Definitive	2021-06-14T15:55:37.548Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND5	HGNC:7461	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-05-03T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND6	HGNC:7462	MONDO:0009723	Leigh syndrome	MT		Definitive	2021-05-17T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-ND6	HGNC:7462	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-05-03T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-RNR1	HGNC:7470	MONDO:0044970	mitochondrial disease	MT		Definitive	2024-03-04T05:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-RNR2	HGNC:7471	MONDO:0044970	mitochondrial disease	MT		Limited	2025-07-14T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TA	HGNC:7475	MONDO:0044970	mitochondrial disease	MT		Definitive	2024-03-04T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TC	HGNC:7477	MONDO:0044970	mitochondrial disease	MT		Limited	2025-07-14T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TD	HGNC:7478	MONDO:0044970	mitochondrial disease	MT		Moderate	2025-07-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TE	HGNC:7479	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-03-20T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TF	HGNC:7481	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-02-16T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TG	HGNC:7486	MONDO:0044970	mitochondrial disease	MT		Moderate	2025-07-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TH	HGNC:7487	MONDO:0044970	mitochondrial disease	MT		Definitive	2022-11-07T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TI	HGNC:7488	MONDO:0005045	hypertrophic cardiomyopathy	MT		Moderate	2023-12-18T01:00:00.000Z	Hereditary Cardiovascular Disease Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TI	HGNC:7488	MONDO:0009723	Leigh syndrome	MT		Limited	2021-02-03T05:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TI	HGNC:7488	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-06-05T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TK	HGNC:7489	MONDO:0009723	Leigh syndrome	MT		Definitive	2021-06-28T15:55:37.306Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TK	HGNC:7489	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-04-17T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TL1	HGNC:7490	MONDO:0009723	Leigh syndrome	MT		Limited	2021-06-28T15:47:10.419Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TL1	HGNC:7490	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-04-17T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TL1	HGNC:7490	MONDO:0044970	MT-TL1-related mitochondrial disorder	mitochondrial	uncertain	limited	2021-09-30 13:38:30+00:00		DD	DDG2P	2026-08-28
MT-TL2	HGNC:7491	MONDO:0009723	Leigh syndrome	MT		Disputed	2021-04-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TL2	HGNC:7491	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-06-05T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TM	HGNC:7492	MONDO:0044970	mitochondrial disease	MT		Definitive	2022-12-19T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TN	HGNC:7493	MONDO:0044970	mitochondrial disease	MT		Definitive	2022-10-20T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TP	HGNC:7494	MONDO:0010790	MT-TP-related MERRF syndrome	mitochondrial	absent gene product	definitive	2015-07-22 16:14:32+00:00		DD	DDG2P	2026-08-28
MT-TP	HGNC:7494	MONDO:0044970	mitochondrial disease	MT		Definitive	2022-12-19T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TQ	HGNC:7495	MONDO:0044970	mitochondrial disease	MT		Limited	2025-07-14T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TR	HGNC:7496	MONDO:0044970	mitochondrial disease	MT		Moderate	2025-07-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TS1	HGNC:7497	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-01-19T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TS2	HGNC:7498	MONDO:0044970	mitochondrial disease	MT		Definitive	2025-07-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TT	HGNC:7499	MONDO:0044970	mitochondrial disease	MT		Moderate	2025-07-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TV	HGNC:7500	MONDO:0009723	Leigh syndrome	MT		Moderate	2021-04-14T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TV	HGNC:7500	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-04-03T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TW	HGNC:7501	MONDO:0009723	Leigh syndrome	MT		Limited	2021-06-28T15:05:50.120Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TW	HGNC:7501	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-05-03T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MT-TY	HGNC:7502	MONDO:0044970	mitochondrial disease	MT		Definitive	2023-02-16T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MTAP	HGNC:7413	MONDO:0007205	diaphyseal medullary stenosis-bone malignancy syndrome	AD		Moderate	2021-06-15T23:29:51.915Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MTF1	HGNC:7428	MONDO:0001071	MTF1-related intellectual disability	monoallelic_autosomal	absent gene product	limited	2025-01-16 11:21:51+00:00		DD	DDG2P	2026-08-28
MTFMT	HGNC:29666	MONDO:0009723	Leigh syndrome	AR		Definitive	2020-03-19T19:45:17.723Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MTFMT	HGNC:29666	MONDO:0013987	MTFMT-related mitochondrial disease with regression and lactic acidosis	biallelic_autosomal	absent gene product; altered gene product structure	definitive	2025-03-06 16:10:20+00:00		DD	DDG2P	2026-08-28
MTHFD1	HGNC:7432	MONDO:0060611	combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia	AR		Definitive	2026-04-16T16:00:00.000Z	SCID-CID Gene Curation Expert Panel		ClinGen	2026-08-27
MTHFR	HGNC:7436	MONDO:0009353	homocystinuria due to methylene tetrahydrofolate reductase deficiency	AR		Definitive	2019-06-18T16:00:00.000Z	Aminoacidopathy Gene Curation Expert Panel		ClinGen	2026-08-27
MTHFR	HGNC:7436	OMIM:236250	MTHFR-related methylenetetrahydrofolate deductase deficiency	biallelic_autosomal	absent gene product	definitive	2016-12-07 09:44:15+00:00		DD	DDG2P	2026-08-28
MTM1	HGNC:7448	MONDO:0010683	X-linked myotubular myopathy	XL		Definitive	2019-11-22T17:00:00.000Z	Congenital Myopathies and Myasthenic Syndromes Gene Curation Expert Panel		ClinGen	2026-08-27
MTM1	HGNC:7448	MONDO:0010683	MTM1-related myotubular myopathy	monoallelic_X_hemizygous	absent gene product	definitive	2015-07-22 16:15:12+00:00		DD	DDG2P	2026-08-28
MTMR2	HGNC:7450	MONDO:0018776	demyelinating hereditary motor and sensory neuropathy	AR		Definitive	2020-02-11T17:00:00.000Z	Charcot-Marie-Tooth Disease Gene Curation Expert Panel		ClinGen	2026-08-27
MTO1	HGNC:19261	MONDO:0044970	mitochondrial disease	AR		Definitive	2024-03-04T17:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MTO1	HGNC:19261	OMIM:614702	MTO1-related infantile hypertrophic cardiomyopathy and lactic acidosis	biallelic_autosomal	absent gene product	definitive	2015-07-22 16:14:15+00:00		DD	DDG2P	2026-08-28
MTOR	HGNC:3942	MONDO:0014716	MTOR-related Smith-Kingsmore syndrome	monoallelic_autosomal	altered gene product structure	definitive	2017-11-01 10:42:08+00:00		DD	DDG2P	2026-08-28
MTOR	HGNC:3942	MONDO:0100283	overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes	AD		Definitive	2021-07-29T21:32:56.506Z	Brain Malformations Gene Curation Expert Panel		ClinGen	2026-08-27
MTPAP	HGNC:25532	MONDO:0044970	mitochondrial disease	AR		Definitive	2022-08-01T16:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MTR	HGNC:7468	MONDO:0009609	methylcobalamin deficiency type cblG	AR		Definitive	2021-07-02T16:00:00.000Z	Aminoacidopathy Gene Curation Expert Panel		ClinGen	2026-08-27
MTR	HGNC:7468	OMIM:250940	MTR-related methylcobalamin deficiency	biallelic_autosomal	absent gene product	definitive	2017-08-29 10:23:54+00:00		DD; Eye	DDG2P	2026-08-28
MTRFR	HGNC:26784	MONDO:0009723	Leigh syndrome	AR		Definitive	2021-04-01T17:45:00.572Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MTRFR	HGNC:26784	MONDO:0013306	MTRFR-related combined oxidative phosphorylation deficiency	biallelic_autosomal	absent gene product	definitive	2017-08-11 14:15:39+00:00		DD; Eye	DDG2P	2026-08-28
MTRFR	HGNC:26784	MONDO:0044970	mitochondrial disease	AR		Definitive	2024-05-23T04:00:00.000Z	Mitochondrial Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MTRR	HGNC:7473	MONDO:0009354	methylcobalamin deficiency type cblE	AR		Definitive	2021-07-02T16:00:00.000Z	Aminoacidopathy Gene Curation Expert Panel		ClinGen	2026-08-27
MTRR	HGNC:7473	OMIM:236270	MTRR-related homocystinuria-megaloblastic anemia, cblE type	biallelic_autosomal	absent gene product	definitive	2015-07-22 16:14:44+00:00		DD	DDG2P	2026-08-28
MTSS2	HGNC:25094	MONDO:0859303	MTSS2-related syndromic intellectual disability	monoallelic_autosomal	altered gene product structure	moderate	2022-10-19 12:18:09+00:00		DD	DDG2P	2026-08-28
MTX2	HGNC:7506	MONDO:0030880	mandibuloacral dysplasia progeroid syndrome	AR		Definitive	2024-06-05T16:00:00.000Z	Syndromic Disorders Gene Curation Expert Panel		ClinGen	2026-08-27
MUC1	HGNC:7508	MONDO:0020726	tubulointerstitial kidney disease, autosomal dominant, 2	AD		Definitive	2021-01-13T17:00:00.000Z	Kidney Cystic and Ciliopathy Disorders Gene Curation Expert Panel		ClinGen	2026-08-27
MUSK	HGNC:7525	MONDO:0014587	congenital myasthenic syndrome 9	AR		Definitive	2026-04-27T16:00:00.000Z	Congenital Myopathies and Myasthenic Syndromes Gene Curation Expert Panel		ClinGen	2026-08-27
MUTYH	HGNC:7527	MONDO:0005575	colorectal cancer	AD		Disputed	2023-03-24T05:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MUTYH	HGNC:7527	MONDO:0012041	familial adenomatous polyposis 2	AR		Definitive	2022-06-20T17:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MUTYH	HGNC:7527	MONDO:0016248	familial ovarian cancer	AR		Disputed	2023-12-20T18:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MUTYH	HGNC:7527	MONDO:0016248	familial ovarian cancer	AD		Disputed	2023-12-20T18:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MUTYH	HGNC:7527	MONDO:0016419	hereditary breast carcinoma	AR		Disputed	2023-12-21T18:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MUTYH	HGNC:7527	MONDO:0016419	hereditary breast carcinoma	AD		Refuted	2023-12-21T18:00:00.000Z	Hereditary Cancer Gene Curation Expert Panel		ClinGen	2026-08-27
MVK	HGNC:7530	MONDO:0017708	mevalonate kinase deficiency	AR		Definitive	2025-03-26T16:00:00.000Z	Monogenic Autoinflammatory Diseases Gene Curation Expert Panel		ClinGen	2026-08-27
MYBPC1	HGNC:7549		MYBPC1-related arthrogryposis and myopathy	monoallelic_autosomal	altered gene product structure	definitive	2025-09-10 07:58:26+00:00		DD	DDG2P	2026-08-28
MYBPC1	HGNC:7549	MONDO:0013965	MYBPC1-related lethal congenital contracture syndrome	biallelic_autosomal	absent gene product; altered gene product structure	strong	2025-07-03 15:58:54+00:00		DD	DDG2P	2026-08-28
MYBPC3	HGNC:7551	MONDO:0005021	dilated cardiomyopathy	AR		Limited	2025-05-16T04:00:00.000Z	Dilated Cardiomyopathy Gene Curation Expert Panel		ClinGen	2026-08-27
MYBPC3	HGNC:7551	MONDO:0005021	dilated cardiomyopathy	AD		Limited	2026-03-04T17:00:00.000Z	Dilated Cardiomyopathy Gene Curation Expert Panel		ClinGen	2026-08-27
MYBPC3	HGNC:7551	MONDO:0005045	hypertrophic cardiomyopathy	AD		Definitive	2021-10-07T16:00:00.000Z	Hereditary Cardiovascular Disease Gene Curation Expert Panel		ClinGen	2026-08-27
MYBPC3	HGNC:7551	MONDO:0005453	congenital heart disease	AD		Limited	2024-07-08T16:00:00.000Z	Congenital Heart Disease Gene Curation Expert Panel		ClinGen	2026-08-27
MYBPC3	HGNC:7551	MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy	AD		Limited	2019-08-06T16:00:00.000Z	Arrhythmogenic Right Ventricular Cardiomyopathy Gene Curation Expert Panel		ClinGen	2026-08-27
MYCBP2	HGNC:23386		MYCBP2-related developmental delay with corpus callosum defects	monoallelic_autosomal	absent gene product; altered gene product structure; decreased gene product level	limited	2022-12-07 13:48:27+00:00		DD	DDG2P	2026-08-28
MYCN	HGNC:7559	MONDO:0008115	Feingold syndrome type 1	AD		Definitive	2025-07-02T16:00:00.000Z	Syndromic Disorders Gene Curation Expert Panel		ClinGen	2026-08-27
MYCN	HGNC:7559	MONDO:0008115	MYCN-related Feingold syndrome	monoallelic_autosomal	absent gene product	definitive	2023-05-24 09:07:30+00:00		DD; Skeletal	DDG2P	2026-08-28
MYCN	HGNC:7559	MONDO:0958279	megalencephaly-polydactyly syndrome	AD		Moderate	2026-01-07T17:00:00.000Z	Syndromic Disorders Gene Curation Expert Panel		ClinGen	2026-08-27
MYF5	HGNC:7565	MONDO:0032565	MYF5-related external ophthalmoplegia, rib, and vertebral anomalies	biallelic_autosomal	absent gene product	strong	2018-09-06 10:44:37+00:00		DD; Eye	DDG2P	2026-08-28
MYH10	HGNC:7568	MONDO:0100465	complex neurodevelopmental disorder with or without congenital anomalies	AD		Definitive	2024-06-21T16:00:00.000Z	Syndromic Disorders Gene Curation Expert Panel		ClinGen	2026-08-27
MYH10	HGNC:7568	MONDO:0700281	MYH10-related multiple congenital anomalies	monoallelic_autosomal	absent gene product; altered gene product structure	moderate	2025-07-14 12:24:41+00:00		DD	DDG2P	2026-08-28
MYH11	HGNC:7569	MONDO:0005453	congenital heart disease	AD		Limited	2024-10-15T16:00:00.000Z	Congenital Heart Disease Gene Curation Expert Panel		ClinGen	2026-08-27
