# Real gene-to-phenotype (HPO term) annotations, restricted to genes curated in
# knowledge/real/gene_disease.tsv.
#
# Source: HPO gene-to-phenotype annotations (genes_to_phenotype.txt), downloaded
#   from https://github.com/obophenotype/human-phenotype-ontology/releases/latest/download/genes_to_phenotype.txt
# Version: 2026-06-23 (HPO's own release date, read from phenotype.hpoa's '#version:' line)
# Licence: CC BY 4.0 (Human Phenotype Ontology Consortium). The HPO content and its logical relationships may not be altered; cite the HPO project.
# Retrieved: 2026-08-28
# Generator: tools/build_knowledge/build.py (uv run python -m tools.build_knowledge.build)
#
# Restriction and size: the full source file has 332599 rows across many more genes than are curated anywhere in this pipeline. Restricted here to the 3994 gene symbols in knowledge/real/gene_disease.tsv: 3634 of them have HPO annotations (275046 matching source rows, collapsed to 221789 unique (gene, HPO term) pairs below). 360 genes from gene_disease.tsv have ZERO rows here -- this may be a real absence of curated phenotype annotation, or gene-symbol drift between sources; this generator does not attempt to tell the two apart. Unmatched sample: ABCC4, ACADL, ACOX2, ACTL6A, ADAMTS9, AGPAT3, AGTR2, ALG10, ANKZF1, AQP1, ARF3, ARHGAP35, ARHGEF28, ARHGEF6, ARL14EP, ARPP21, ATE1, ATG12, ATP13A3, AVPR1A, ... (340 more).
#
# One row per (gene_symbol, hpo_id): the source has one row per (gene, HPO term, DISEASE), since the same phenotype can be annotated via several diseases with different evidence. Collapsed here by preferring a row that carries real frequency data over one recorded as '-', tie-broken deterministically on disease_id -- never averaged or otherwise invented.
#
# TWO QUALIFIERS, TWO COLUMNS (ADR 0021). This table previously wrote HPO's frequency vocabulary into a column named association_strength, which src/mva/phenotype/hpo.py validates as curated clinical validity; the file was unloadable as a result. Frequency and validity are different scientific claims and now have separate columns:
#
# hpo_frequency is HPO's OWN phenotype-FREQUENCY vocabulary (how often the phenotype occurs among cases of the linked disease), carried through VERBATIM. Real HPO frequency terms (quoted from hp.obo):
#   HP:0040280 Obligate       "Always present, i.e. in 100% of the cases."
#   HP:0040281 Very frequent  "Present in 80% to 99% of the cases."
#   HP:0040282 Frequent       "Present in 30% to 79% of the cases."
#   HP:0040283 Occasional     "Present in 5% to 29% of the cases."
#   HP:0040284 Very rare      "Present in 1% to 4% of the cases."
# A row may instead carry a raw fraction ('n/m' cases) or a percentage recorded directly in the source. An EMPTY cell means the source recorded '-' (frequency not stated) -- unmeasured, not "never occurs" (GP-14). HP:0040285 (Excluded, 0% -- i.e. NOT part of the disease) is a NEGATED annotation, not an association: such rows are dropped here rather than rendered with an empty frequency, which would be indistinguishable from 'not stated'. 0 source rows were dropped for this reason (HPO's own genes_to_phenotype.txt build already excludes negated annotations, so this count is expected to be 0 -- it is measured, not assumed).
#
# association_strength is curated gene-disease CLINICAL VALIDITY -- how confident an expert panel is that variation in this gene causes disease at all -- and does NOT come from HPO, which records no such judgement. It is the STRONGEST classification found for the gene across knowledge/real/gene_disease.tsv's two sources (ClinGen Gene-Disease Validity and EBI Gene2Phenotype/DDG2P), carried in those sources' own vocabulary, case-folded so ClinGen's 'Definitive' and DDG2P's 'definitive' are one token: definitive, strong, moderate, limited, disputed, refuted, no known disease relationship (strongest first). This mirrors how knowledge/disease/mva_panel.tsv sources its evidence_tier column.
# association_strength_source names WHICH panel supplied that classification. It is a separate column from `source` (always HPO) on purpose: the gene->term annotation and the validity call come from different bodies, and one provenance field covering both would attribute an expert-panel judgement to HPO (GP-31).
# GRANULARITY, STATED: ClinGen and DDG2P curate the (gene, DISEASE) pair; this column reduces to the GENE. A gene curated definitive for one disease and limited for another reads 'definitive' on every row, including the phenotypes annotated via the weaker disease. Joining each HPO annotation to the curation for its own disease was measured and reaches only 75379 of 275046 candidate source rows (27%): HPO annotates against OMIM and ORPHA, ClinGen against MONDO, and no crosswalk between them exists in the downloaded resources. See ADR 0021.
# An EMPTY association_strength means NO curation source classifies the gene -- absent, never a default (GP-14). 0 of 221789 rows (0 genes) are in that state in this build: (none).
#
# src/mva/phenotype/hpo.py reads this file directly: STRENGTH_WEIGHTS carries the vocabulary above, parse_hpo_frequency carries hpo_frequency, and an absent strength is weighted at the explicitly named UNCURATED_ASSOCIATION_WEIGHT rather than at 0.0 (which erases a real annotation) or 1.0 (which invents curation).
gene_symbol	hpo_id	label	association_strength	association_strength_source	hpo_frequency	source	version
AAAS	HP:0008163	Decreased circulating cortisol level	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0008259	Adrenocorticotropin receptor defect	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0008872	Feeding difficulties in infancy	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0009916	Anisocoria	definitive	DDG2P		HPO	2026-06-23
AAAS	HP:0010486	Abnormality of the hypothenar eminence	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0011462	Young adult onset	definitive	DDG2P	2/14	HPO	2026-06-23
AAAS	HP:0011463	Childhood onset	definitive	DDG2P	4/14	HPO	2026-06-23
AAAS	HP:0012332	Abnormal autonomic nervous system physiology	definitive	DDG2P	4/17	HPO	2026-06-23
AAAS	HP:0012735	Cough	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AAAS	HP:0012804	Corneal ulceration	definitive	DDG2P	HP:0040283	HPO	2026-06-23
AAAS	HP:0031078	Impaired cortisol response to corticotropin releasing hormone stimulation test	definitive	DDG2P	HP:0040282	HPO	2026-06-23
AARS1	HP:0000006	Autosomal dominant inheritance	definitive	ClinGen		HPO	2026-06-23
AARS1	HP:0000007	Autosomal recessive inheritance	definitive	ClinGen		HPO	2026-06-23
AARS1	HP:0000028	Cryptorchidism	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000133	Gonadal dysgenesis	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000219	Thin upper lip vermilion	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0000252	Microcephaly	definitive	ClinGen	3/3	HPO	2026-06-23
AARS1	HP:0000278	Retrognathia	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0000280	Coarse facial features	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000286	Epicanthus	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000316	Hypertelorism	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000320	Bird-like facies	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000343	Long philtrum	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0000348	High forehead	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000407	Sensorineural hearing impairment	definitive	ClinGen		HPO	2026-06-23
AARS1	HP:0000411	Protruding ear	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0000448	Prominent nose	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0000482	Microcornea	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000483	Astigmatism	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000486	Strabismus	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000494	Downslanted palpebral fissures	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000504	Abnormality of vision	definitive	ClinGen	HP:0040284	HPO	2026-06-23
AARS1	HP:0000508	Ptosis	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000509	Conjunctivitis	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000519	Developmental cataract	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000545	Myopia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000546	Retinal degeneration	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000565	Esotropia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000601	Hypotelorism	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0000608	Macular degeneration	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000613	Photophobia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000639	Nystagmus	definitive	ClinGen	1/3	HPO	2026-06-23
AARS1	HP:0000643	Blepharospasm	definitive	ClinGen	3/3	HPO	2026-06-23
AARS1	HP:0000648	Optic atrophy	definitive	ClinGen	HP:0040284	HPO	2026-06-23
AARS1	HP:0000656	Ectropion	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000668	Hypodontia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000670	Carious teeth	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000708	Atypical behavior	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000717	Autism	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000726	Dementia	definitive	ClinGen	2/2	HPO	2026-06-23
AARS1	HP:0000750	Delayed speech and language development	definitive	ClinGen	HP:0040282	HPO	2026-06-23
AARS1	HP:0000751	Personality changes	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0000938	Osteopenia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000958	Dry skin	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0000964	Eczematoid dermatitis	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0000973	Cutis laxa	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0000992	Cutaneous photosensitivity	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001097	Keratoconjunctivitis sicca	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001197	Abnormality of prenatal development or birth	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001217	Clubbing	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001249	Intellectual disability	definitive	ClinGen	HP:0040282	HPO	2026-06-23
AARS1	HP:0001250	Seizure	definitive	ClinGen	HP:0040282	HPO	2026-06-23
AARS1	HP:0001251	Ataxia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001257	Spasticity	definitive	ClinGen	3/3	HPO	2026-06-23
AARS1	HP:0001260	Dysarthria	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001263	Global developmental delay	definitive	ClinGen	3/3	HPO	2026-06-23
AARS1	HP:0001264	Spastic diplegia	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0001265	Hyporeflexia	definitive	ClinGen	3/7	HPO	2026-06-23
AARS1	HP:0001268	Mental deterioration	definitive	ClinGen	2/2	HPO	2026-06-23
AARS1	HP:0001273	Abnormal corpus callosum morphology	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001276	Hypertonia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001284	Areflexia	definitive	ClinGen	3/3	HPO	2026-06-23
AARS1	HP:0001288	Gait disturbance	definitive	ClinGen	2/2	HPO	2026-06-23
AARS1	HP:0001290	Generalized hypotonia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001298	Encephalopathy	definitive	ClinGen	HP:0040281	HPO	2026-06-23
AARS1	HP:0001315	Diminished deep tendon reflex	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001332	Dystonia	definitive	ClinGen	1/2	HPO	2026-06-23
AARS1	HP:0001336	Myoclonus	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001337	Tremor	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001338	Partial agenesis of the corpus callosum	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001363	Craniosynostosis	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001373	Joint dislocation	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001508	Failure to thrive	definitive	ClinGen	3/3	HPO	2026-06-23
AARS1	HP:0001511	Intrauterine growth retardation	definitive	ClinGen	2/3	HPO	2026-06-23
AARS1	HP:0001537	Umbilical hernia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001558	Decreased fetal movement	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001598	Concave nail	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001618	Dysphonia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001629	Ventricular septal defect	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001638	Cardiomyopathy	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001761	Pes cavus	definitive	ClinGen		HPO	2026-06-23
AARS1	HP:0001765	Hammertoe	definitive	ClinGen		HPO	2026-06-23
AARS1	HP:0001807	Ridged nail	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001808	Fragile nails	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001809	Split nail	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001838	Rocker bottom foot	definitive	ClinGen	3/3	HPO	2026-06-23
AARS1	HP:0001875	Decreased total neutrophil count	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0001903	Anemia	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0002020	Gastroesophageal reflux	definitive	ClinGen	HP:0040283	HPO	2026-06-23
AARS1	HP:0002059	Cerebral atrophy	definitive	ClinGen	3/3	HPO	2026-06-23
AARS1	HP:0002063	Rigidity	definitive	ClinGen	2/2	HPO	2026-06-23
